Sport,Season,Team,W,L,Rank,Conf
WVB,2021-22,UTRGV,17,11,187,WAC
WVB,2021-22,Bryant,21,11,187,NEC
WVB,2021-22,Saint Louis,18,12,189,Atlantic 10
WVB,2021-22,Santa Clara,12,15,190,WCC
WVB,2021-22,Charlotte,12,13,191,C-USA
WVB,2021-22,Delaware St.,25,5,192,MEAC
WVB,2021-22,Iowa,6,24,193,Big Ten
WVB,2021-22,Xavier,11,18,194,Big East
WVB,2021-22,UT Martin,15,17,195,OVC
WVB,2021-22,Central Mich.,13,17,196,MAC
WVB,2021-22,Virginia,8,20,197,ACC
WVB,2021-22,Northern Ariz.,12,14,198,Big Sky
WVB,2021-22,Tarleton St.,15,14,199,WAC
WVB,2021-22,Missouri,5,26,200,SEC
WVB,2021-22,Drake,11,15,201,MVC
WVB,2021-22,Samford,11,18,202,SoCon
WVB,2021-22,Howard,18,13,203,MEAC
WVB,2021-22,Memphis,13,19,204,AAC
WVB,2021-22,Rutgers,8,21,205,Big Ten
WVB,2021-22,Old Dominion,13,13,206,C-USA
WVB,2021-22,Navy,13,14,207,Patriot
WVB,2021-22,Wofford,17,14,208,SoCon
WVB,2021-22,The Citadel,14,12,209,SoCon
WVB,2021-22,Albany (NY),14,15,210,America East
WVB,2021-22,Davidson,14,13,211,Atlantic 10
WVB,2021-22,California Baptist,13,11,212,WAC
WVB,2021-22,Louisiana,15,11,213,Sun Belt
WVB,2021-22,UT Arlington,12,15,214,Sun Belt
WVB,2021-22,Kent St.,12,18,215,MAC
WVB,2021-22,Eastern Mich.,9,20,216,MAC
WVB,2021-22,San Diego St.,8,22,217,Mountain West
WVB,2021-22,Buffalo,13,17,218,MAC
WVB,2021-22,Cornell,7,15,219,Ivy League
WVB,2021-22,Oregon St.,5,25,220,Pac-12
WVB,2021-22,Cal St. Fullerton,12,15,221,Big West
WVB,2021-22,Liberty,10,14,222,ASUN
WVB,2021-22,Stetson,13,16,223,ASUN
WVB,2021-22,Green Bay,15,16,224,Horizon
WVB,2021-22,Montana,11,16,225,Big Sky
WVB,2021-22,Dixie St.,7,15,226,WAC
WVB,2021-22,Providence,16,15,227,Big East
WVB,2021-22,USC Upstate,14,16,228,Big South
WVB,2021-22,ETSU,11,17,229,SoCon
WVB,2021-22,North Dakota St.,12,18,230,Summit League
WVB,2021-22,Stony Brook,13,14,231,America East
WVB,2021-22,Western Caro.,11,17,232,SoCon
WVB,2021-22,Rider,19,12,233,MAAC
WVB,2021-22,N.C. Central,11,14,234,MEAC
WVB,2021-22,Little Rock,14,15,235,Sun Belt
WVB,2021-22,East Carolina,9,20,236,AAC
WVB,2021-22,Gonzaga,9,20,237,WCC
WVB,2021-22,Penn,8,15,238,Ivy League
WVB,2021-22,Jackson St.,17,14,239,SWAC
WVB,2021-22,Abilene Christian,9,15,240,WAC
WVB,2021-22,Eastern Ill.,11,18,241,OVC
WVB,2021-22,Coppin St.,16,12,242,MEAC
WVB,2021-22,Southern Miss.,11,17,243,C-USA
WVB,2021-22,Portland,5,20,244,WCC
WVB,2021-22,Temple,7,24,245,AAC
WVB,2021-22,Eastern Wash.,11,14,246,Big Sky
WVB,2021-22,Marist,17,13,247,MAAC
WVB,2021-22,South Fla.,7,24,248,AAC
