Sport,Season,Rank,Team,W,L
WVB,2016-17,302,The Citadel,8,25
WVB,2016-17,303,Loyola Maryland,6,21
WVB,2016-17,304,NJIT,11,22
WVB,2016-17,305,Alabama A&M,13,22
WVB,2016-17,306,Prairie View,10,19
WVB,2016-17,307,Buffalo,4,25
WVB,2016-17,308,St. Francis Brooklyn,9,21
WVB,2016-17,309,N.C. A&T,9,15
WVB,2016-17,310,Eastern Ill.,5,26
WVB,2016-17,311,Hampton,6,17
WVB,2016-17,312,Chicago St.,3,26
WVB,2016-17,313,Morgan St.,7,21
WVB,2016-17,314,Ark.-Pine Bluff,9,17
WVB,2016-17,315,Iona,7,24
WVB,2016-17,316,Nicholls St.,8,24
WVB,2016-17,317,Canisius,7,20
WVB,2016-17,318,Western Ill.,4,28
WVB,2016-17,319,Bucknell,5,23
WVB,2016-17,320,Norfolk St.,7,20
WVB,2016-17,321,Saint Francis (PA),5,22
WVB,2016-17,322,N.C. Central,6,17
WVB,2016-17,323,Lafayette,4,22
WVB,2016-17,324,New Orleans,5,25
WVB,2016-17,325,Grambling,7,19
WVB,2016-17,326,Jackson St.,8,24
WVB,2016-17,327,Fairleigh Dickinson,3,29
WVB,2016-17,328,Delaware St.,1,28
WVB,2016-17,329,Coppin St.,2,24
WVB,2016-17,330,Savannah St.,2,25
WVB,2016-17,331,Saint Peter's,0,25
WVB,2016-17,332,Alcorn,2,25
WVB,2016-17,333,South Carolina St.,0,25
WVB,2016-17,334,Mississippi Val.,3,26
