Sport,Season,Team,W,L,Rank,Conf
WVB,2020-21,Tennessee St.,4,12,269,OVC
WVB,2020-21,N.C. Central,4,3,270,MEAC
WVB,2020-21,App State,1,15,271,Sun Belt
WVB,2020-21,UTRGV,2,15,272,WAC
WVB,2020-21,Jacksonville,3,14,273,ASUN
WVB,2020-21,Indiana,3,15,274,Big Ten
WVB,2020-21,New Orleans,3,11,275,Southland
WVB,2020-21,Iowa,4,16,276,Big Ten
WVB,2020-21,Manhattan,4,7,277,MAAC
WVB,2020-21,Western Ill.,2,15,278,Summit League
WVB,2020-21,Pacific,2,7,279,WCC
WVB,2020-21,Idaho St.,2,14,280,Big Sky
WVB,2020-21,Morgan St.,1,7,281,MEAC
WVB,2020-21,Stanford,2,8,282,Pac-12
WVB,2020-21,Ole Miss,1,19,283,SEC
WVB,2020-21,Virginia,2,12,284,ACC
WVB,2020-21,Maryland,5,15,285,Big Ten
WVB,2020-21,Lehigh,3,6,286,Patriot
WVB,2020-21,Youngstown St.,3,11,287,Horizon
WVB,2020-21,Southern Ill.,2,18,288,MVC
WVB,2020-21,North Dakota,2,16,289,Summit League
WVB,2020-21,George Mason,5,10,290,Atlantic 10
WVB,2020-21,Nicholls,1,11,291,Southland
WVB,2020-21,Memphis,5,7,292,AAC
WVB,2020-21,UNC Greensboro,2,15,293,SoCon
WVB,2020-21,NJIT,2,10,294,America East
WVB,2020-21,Fairleigh Dickinson,2,7,295,NEC
WVB,2020-21,Marist,1,3,296,MAAC
WVB,2020-21,Binghamton,2,12,297,America East
WVB,2020-21,ULM,1,22,298,Sun Belt
WVB,2020-21,Northwestern St.,2,11,299,Southland
WVB,2020-21,California,1,21,300,Pac-12
WVB,2020-21,Lamar University,1,16,301,Southland
WVB,2020-21,Loyola Maryland,1,5,302,Patriot
WVB,2020-21,St. Francis Brooklyn,0,2,303,NEC
WVB,2020-21,Mississippi Val.,0,9,304,SWAC
WVB,2020-21,Montana,2,14,305,Big Sky
WVB,2020-21,North Ala.,1,13,306,ASUN
WVB,2020-21,Louisiana Tech,1,19,307,C-USA
WVB,2020-21,IUPUI,0,12,308,Horizon
WVB,2020-21,Merrimack,0,13,309,NEC
WVB,2020-21,Bucknell,1,3,310,Patriot
WVB,2020-21,George Washington,1,9,311,Atlantic 10
WVB,2020-21,South Carolina St.,0,8,312,MEAC
