Sport,Season,Team,W,L,Rank
WSB,2006-2007,Western Ky.,30,32,88
WSB,2006-2007,Long Island,34,22,89
WSB,2006-2007,Minnesota,24,22,90
WSB,2006-2007,Eastern Mich.,27,22,91
WSB,2006-2007,Middle Tenn.,30,30,92
WSB,2006-2007,Fordham,39,20,93
WSB,2006-2007,Radford,44,27,94
WSB,2006-2007,Harvard,31,15,95
WSB,2006-2007,Texas-Arlington,36,16,96
WSB,2006-2007,Colorado St.,30,28,97
WSB,2006-2007,James Madison,38,16,98
WSB,2006-2007,Loyola (Ill.),21,21,99
WSB,2006-2007,Bowling Green,33,12,100
WSB,2006-2007,Purdue,33,32,101
WSB,2006-2007,Samford,31,23,102
WSB,2006-2007,UC Davis,31,27,103
WSB,2006-2007,New Mexico St.,31,27,104
WSB,2006-2007,Cornell,35,14,105
WSB,2006-2007,Indiana St.,22,27,106
WSB,2006-2007,Northwestern St.,29,29,107
WSB,2006-2007,Kentucky,20,31,108
WSB,2006-2007,Chattanooga,35,31,109
WSB,2006-2007,Utah,25,26,110
WSB,2006-2007,Bradley,26,23,111
WSB,2006-2007,UTEP,28,23,112
WSB,2006-2007,Georgia St.,34,30,113
WSB,2006-2007,Charlotte,34,23,114
WSB,2006-2007,North Fla.,33,24,115
WSB,2006-2007,Sam Houston St.,38,26,116
WSB,2006-2007,South Ala.,36,23,117
WSB,2006-2007,Gardner-Webb,35,26,118
WSB,2006-2007,Arkansas,21,43,119
WSB,2006-2007,Boston College,15,31,120
WSB,2006-2007,Virginia,17,39,121
WSB,2006-2007,UMBC,32,18,122
WSB,2006-2007,Lehigh,35,18,123
WSB,2006-2007,Florida Int'l,22,35,124
WSB,2006-2007,Coastal Caro.,22,34,125
WSB,2006-2007,Wagner,34,19,126
WSB,2006-2007,Indiana,21,34,127
WSB,2006-2007,Temple,18,21,128
WSB,2006-2007,Western Mich.,20,23,129
WSB,2006-2007,Tenn.-Martin,30,33,130
WSB,2006-2007,Canisius,27,21,131
WSB,2006-2007,Cleveland St.,33,14,132
WSB,2006-2007,Princeton,24,29,133
WSB,2006-2007,Penn,23,19,134
WSB,2006-2007,Connecticut,22,21,135
WSB,2006-2007,Nicholls St.,27,28,136
WSB,2006-2007,North Dakota St.,34,23,137
WSB,2006-2007,Iowa St.,24,40,138
WSB,2006-2007,Ill.-Chicago,20,33,139
WSB,2006-2007,UTSA,27,31,140
WSB,2006-2007,North Texas,22,36,141
WSB,2006-2007,Villanova,25,31,142
WSB,2006-2007,Portland St.,23,34,143
WSB,2006-2007,Tennessee St.,35,23,143
WSB,2006-2007,Missouri St.,21,29,145
WSB,2006-2007,McNeese St.,30,32,146
WSB,2006-2007,Western Ill.,23,23,147
WSB,2006-2007,Southern Utah,30,31,148
WSB,2006-2007,Austin Peay,28,30,149
WSB,2006-2007,Syracuse,21,31,150
WSB,2006-2007,Col. of Charleston,34,26,151
WSB,2006-2007,Eastern Ky.,24,31,152
WSB,2006-2007,Miami (Ohio),26,35,153
WSB,2006-2007,Southern Miss.,18,38,154
WSB,2006-2007,Dartmouth,16,24,155
WSB,2006-2007,Southeastern La.,31,27,155
WSB,2006-2007,Eastern Ill.,23,31,157
WSB,2006-2007,UNC Greensboro,29,37,158
WSB,2006-2007,Ohio,27,31,159
WSB,2006-2007,Lipscomb,25,28,160
WSB,2006-2007,Louisiana Tech,22,38,161
WSB,2006-2007,Pittsburgh,23,35,162
WSB,2006-2007,Northern Ill.,22,28,163
WSB,2006-2007,East Tenn. St.,26,29,164
WSB,2006-2007,Maine,24,26,165
WSB,2006-2007,Seton Hall,15,35,166
WSB,2006-2007,Birmingham-So.,25,37,167
WSB,2006-2007,Drake,16,36,168
WSB,2006-2007,UC Riverside,16,37,169
WSB,2006-2007,Southeast Mo. St.,20,29,170
WSB,2006-2007,Stony Brook,28,20,171
WSB,2006-2007,Elon,28,32,172
WSB,2006-2007,Monmouth,31,18,173
WSB,2006-2007,St. Louis,29,33,174
WSB,2006-2007,St. Bonaventure,18,18,175
WSB,2006-2007,Sacramento St.,20,33,176
WSB,2006-2007,Robert Morris,18,22,177
WSB,2006-2007,Hampton,36,13,178
WSB,2006-2007,San Jose St.,23,28,179
WSB,2006-2007,Ga. Southern,29,32,180
WSB,2006-2007,Rutgers,20,34,181
WSB,2006-2007,Columbia,22,26,182
WSB,2006-2007,Campbell,29,40,183
WSB,2006-2007,Wright St.,25,35,184
WSB,2006-2007,UNI,19,32,185
WSB,2006-2007,La.-Monroe,24,38,186
WSB,2006-2007,Providence,23,24,187
WSB,2006-2007,Western Caro.,28,34,188
WSB,2006-2007,Appalachian St.,20,38,189
WSB,2006-2007,St. Mary's (Cal.),24,36,190
WSB,2006-2007,Valparaiso,27,19,191
WSB,2006-2007,Furman,21,36,192
WSB,2006-2007,Yale,21,21,193
WSB,2006-2007,Centenary (La.),22,27,194
WSB,2006-2007,Akron,17,25,195
WSB,2006-2007,Delaware,16,26,196
WSB,2006-2007,St. John's (N.Y.),18,36,197
WSB,2006-2007,Ball St.,22,34,198
WSB,2006-2007,UNC Wilmington,19,37,199
WSB,2006-2007,San Diego,24,26,200
WSB,2006-2007,Quinnipiac,18,27,201
WSB,2006-2007,Stephen F. Austin,19,37,202
WSB,2006-2007,Morehead St.,21,32,203
WSB,2006-2007,Towson,25,31,204
WSB,2006-2007,Toledo,10,32,205
WSB,2006-2007,Howard,35,21,206
WSB,2006-2007,Drexel,18,20,207
WSB,2006-2007,Colgate,25,24,208
WSB,2006-2007,Marist,20,30,209
WSB,2006-2007,Wis.-Green Bay,17,23,210
WSB,2006-2007,Niagara,18,20,211
WSB,2006-2007,George Mason,19,34,212
WSB,2006-2007,George Washington,23,27,213
WSB,2006-2007,Belmont,11,38,214
WSB,2006-2007,Hartford,23,27,215
WSB,2006-2007,Fairfield,20,24,216
WSB,2006-2007,Mississippi Val.,29,28,217
WSB,2006-2007,St. Peter's,22,23,218
WSB,2006-2007,St. Joseph's,13,25,219
WSB,2006-2007,Butler,26,24,220
WSB,2006-2007,Central Conn. St.,18,26,221
WSB,2006-2007,N.C. A&T,30,30,222
WSB,2006-2007,Iona,14,23,223
WSB,2006-2007,Vermont,12,29,224
WSB,2006-2007,Utah St.,17,36,225
WSB,2006-2007,Jacksonville,15,43,226
WSB,2006-2007,Norfolk St.,26,25,227
WSB,2006-2007,Delaware St.,24,29,228
WSB,2006-2007,South Dakota St.,17,32,229
WSB,2006-2007,Youngstown St.,16,22,230
WSB,2006-2007,Central Ark.,16,42,231
WSB,2006-2007,Oakland,21,36,232
WSB,2006-2007,Santa Clara,12,47,233
WSB,2006-2007,La Salle,16,23,234
WSB,2006-2007,Utah Valley St.,23,29,235
WSB,2006-2007,A&M-Corpus Christi,12,38,236
WSB,2006-2007,Charleston So.,15,44,237
WSB,2006-2007,Detroit,12,31,238
WSB,2006-2007,Sacred Heart,16,28,239
WSB,2006-2007,Mercer,14,46,240
WSB,2006-2007,Siena,11,25,241
WSB,2006-2007,Mt. St. Mary's,11,29,242
WSB,2006-2007,Lafayette,21,25,243
WSB,2006-2007,St. Francis (Pa.),17,35,244
WSB,2006-2007,Alabama St.,17,26,245
WSB,2006-2007,Binghamton,8,33,246
WSB,2006-2007,IUPUI,14,32,247
WSB,2006-2007,Brown,10,33,248
WSB,2006-2007,Georgetown,12,41,249
WSB,2006-2007,Rhode Island,10,35,250
WSB,2006-2007,Florida A&M,16,46,251
WSB,2006-2007,Southern U.,18,20,252
WSB,2006-2007,Army,15,36,253
WSB,2006-2007,Bucknell,15,33,254
WSB,2006-2007,Northern Colo.,10,41,255
WSB,2006-2007,Alabama A&M,13,33,256
WSB,2006-2007,Alcorn St.,14,38,257
WSB,2006-2007,Idaho St.,10,32,258
WSB,2006-2007,Dayton,11,30,259
WSB,2006-2007,Rider,11,36,260
WSB,2006-2007,UMKC,4,46,261
WSB,2006-2007,Buffalo,3,45,262
WSB,2006-2007,Bethune-Cookman,22,36,263
WSB,2006-2007,Jackson St.,17,27,264
WSB,2006-2007,Manhattan,4,42,265
WSB,2006-2007,Fairleigh Dickinson,7,32,266
WSB,2006-2007,Holy Cross,5,39,267
WSB,2006-2007,IPFW,6,26,268
WSB,2006-2007,Morgan St.,15,24,269
WSB,2006-2007,South Carolina St.,6,41,270
WSB,2006-2007,Texas Southern,11,23,271
WSB,2006-2007,Prairie View,7,31,272
WSB,2006-2007,Ark.-Pine Bluff,13,26,273
WSB,2006-2007,Md.-East. Shore,4,36,274
WSB,2006-2007,Coppin St.,0,27,275
WSB,2006-2007,Grambling,3,34,276
WSB,2006-2007,Savannah St.,5,22,277
