Sport,Season,Team,W,L,Rank,Conf
WSB,2019-20,Alabama St.,10,14,229,SWAC
WSB,2019-20,Purdue Fort Wayne,3,18,230,Summit League
WSB,2019-20,Penn,7,5,231,Ivy League
WSB,2019-20,Wagner,3,6,232,NEC
WSB,2019-20,Iona,2,6,233,MAAC
WSB,2019-20,Saint Francis (PA),5,18,234,NEC
WSB,2019-20,North Dakota,7,17,235,Summit League
WSB,2019-20,Rhode Island,4,14,236,Atlantic 10
WSB,2019-20,Binghamton,3,12,237,America East
WSB,2019-20,Chattanooga,6,14,238,SoCon
WSB,2019-20,Northern Colo.,10,15,239,Big Sky
WSB,2019-20,Cleveland St.,6,9,240,Horizon
WSB,2019-20,Saint Louis,6,13,241,Atlantic 10
WSB,2019-20,Grand Canyon,5,20,242,WAC
WSB,2019-20,Yale,5,10,243,Ivy League
WSB,2019-20,Winthrop,12,10,244,Big South
WSB,2019-20,Manhattan,6,6,245,MAAC
WSB,2019-20,Tennessee St.,7,9,246,OVC
WSB,2019-20,George Mason,7,11,247,Atlantic 10
WSB,2019-20,UNCW,7,16,248,CAA
WSB,2019-20,Southern U.,3,9,249,SWAC
WSB,2019-20,Drexel,4,6,250,CAA
WSB,2019-20,UTEP,5,17,251,C-USA
WSB,2019-20,Providence,6,9,252,Big East
WSB,2019-20,Brown,1,9,253,Ivy League
WSB,2019-20,Northern Ill.,7,13,254,MAC
WSB,2019-20,IUPUI,5,15,255,Horizon
WSB,2019-20,Michigan St.,6,16,256,Big Ten
WSB,2019-20,Norfolk St.,6,12,257,MEAC
WSB,2019-20,Morgan St.,5,11,258,MEAC
WSB,2019-20,Mount St. Mary's,2,17,259,NEC
WSB,2019-20,Florida A&M;,3,16,260,MEAC
WSB,2019-20,Prairie View,5,11,261,SWAC
WSB,2019-20,Cornell,4,5,262,Ivy League
WSB,2019-20,Bethune-Cookman,4,25,263,MEAC
WSB,2019-20,UIW,8,15,264,Southland
WSB,2019-20,Lafayette,1,11,265,Patriot
WSB,2019-20,Niagara,2,3,266,MAAC
WSB,2019-20,Detroit Mercy,2,21,267,Horizon
WSB,2019-20,UMBC,5,9,268,America East
WSB,2019-20,Western Ill.,6,13,269,Summit League
WSB,2019-20,CSU Bakersfield,1,13,270,WAC
WSB,2019-20,Hofstra,3,14,271,CAA
WSB,2019-20,N.C. A&T;,4,19,272,MEAC
WSB,2019-20,Western Mich.,5,16,273,MAC
WSB,2019-20,Alcorn,1,18,274,SWAC
