SCHOOL,NO.,NAME,POS.,HT.,WT.,YEAR,HOMETOWN/PREVIOUS_SCHOOL,HIGH_SCHOOL,LAST_SCHOOL
Nebraska,0,Tommi Hill,CB,6-0,205,So.,"Orlando, Fla. / Edgewater HS / Arizona State",,
Nebraska,0,Jaquez Yant,RB,6-2,245,So.,"Tallahassee, Fla. / Amos P. Godby",,
Nebraska,1,Tyreke Johnson,CB,6-1,190,Jr.,"Jacksonville, Fla. / Trinity Christian Academy / Ohio State",,
Nebraska,2,Isaiah Garcia-Castaneda,WR,6-0,185,Jr.,"Twentynine Palms, Calif. / Twentynine Palms HS / Saddleback (Ariz.) College / New Mexico State",,
Nebraska,2,Caleb Tannor,OLB,6-3,225,Sr.,"Stone Mountain, Ga. / Miller Grove",,
Nebraska,3,Trey Palmer,WR,6-1,190,Jr.,"Kentwood, La. / Kentwood HS / LSU",,
Nebraska,4,Alante Brown,WR,5-10,185,So.,"Chicago, Ill. / Simeon HS / St. Thomas More (Conn.) Prep",,
Nebraska,4,Myles Farmer,S,6-1,200,So.,"Atlanta, Ga. / Westlake",,
Nebraska,5,Omar Manning,WR,6-4,225,Sr.,"Lancaster, Texas / Lancaster HS/TCU/Kilgore College",,
Nebraska,6,Quinton Newsome,CB,6-1,185,Jr.,"Suwanee, Ga. / North Gwinnett",,
Nebraska,6,Chubba Purdy,QB,6-2,210,R-Fr.,"Queen Creek, Ariz. / Perry HS / Florida State",,
Nebraska,7,Tamon Lynum,CB,6-2,180,R-Fr.,"Orlando, Fla. / Evans",,
Nebraska,7,Latrell Neville,WR,6-4,195,R-Fr.,"Fresno, Texas / Hightower",,
Nebraska,8,Jaeden Gould,CB,6-2,190,Fr.,"Somerset, N.J. / Bergen Catholic",,
Nebraska,8,Logan Smothers,QB,6-2,195,So.,"Muscle Shoals, Ala. / Muscle Shoals",,
Nebraska,9,Spencer Arceneaux,QB,6-1,180,R-Fr.,"Mobile, Ala. / McGill Toolen",,
Nebraska,9,DeShon Singleton,S,6-3,205,So.,"Amite, La. / St. Helena / Hutchinson (Kan.) CC",,
Nebraska,10,Jimari Butler,OLB,6-5,245,R-Fr.,"Mobile, Ala. / Murphy",,
Nebraska,10,Heinrich Haarberg,QB,6-5,200,R-Fr.,"Kearney, Neb. / Catholic",,
Nebraska,11,Braxton Clark,CB,6-4,200,Jr.,"Orlando, Fla. / Dr. Phillips",,
Nebraska,11,Casey Thompson,QB,6-1,200,Jr.,"Oklahoma City, Okla. / Newcastle HS / Texas",,
Nebraska,12,Marques Buford Jr.,DB,5-11,190,So.,"DeSoto, Texas / Trinity Christian School/St. Thomas More (Conn.) Prep",,
Nebraska,13,Omar Brown,CB,6-1,200,Jr.,"Minneapolis, Minn. / North HS / Northern Iowa",,
Nebraska,13,Kamonte Grimes,WR,6-3,200,R-Fr.,"Naples, Fla. / Palmetto Ridge",,
Nebraska,14,Mikai Gbayor,ILB,6-2,220,R-Fr.,"Irvington, N.J. / Irvington",,
Nebraska,14,Rahmir Johnson,RB,5-10,185,So.,"Oradell, N.J. / Bergen Catholic",,
Nebraska,15,Zavier Betts,WR,6-2,200,So.,"Bellevue, Neb. / Bellevue West",,
Nebraska,15,Richard Torres,QB,6-5,210,Fr.,"San Antonio, Texas / Southside",,
Nebraska,16,Ernest Hausmann,ILB,6-3,220,Fr.,"Columbus, Neb. / Columbus",,
Nebraska,16,Jarrett Synek,QB,6-0,190,R-Fr.,"Hastings, Neb. / Hastings",,
Nebraska,16,Zach Weinmaster,WR,5-10,190,So.,"Loveland, Colo. / Loveland",,
Nebraska,17,Ty Hahn,WR,6-2,195,R-Fr.,"Johnson, Neb. / Johnson-Brock",,
Nebraska,18,Matt Masker,QB,6-2,220,Jr.,"Kearney, Neb. / Kearney Catholic",,
Nebraska,19,Seth Malcom,ILB,6-4,210,R-Fr.,"Tabor, Iowa / Fremont-Mills",,
Nebraska,19,Barron Miles Jr.,WR,5-10,170,R-Fr.,"Montreal, Quebec, Canada / Chandler (Ariz.)",,
Nebraska,21,Noa Pola-Gates,S,6-0,180,So.,"Gilbert, Ariz. / Williams Field",,
Nebraska,22,Gabe Ervin Jr.,RB,6-0,215,R-Fr.,"Buford, Ga. / Buford",,
Nebraska,22,Eteva Mauga-Clements,ILB,6-1,220,Sr.,"Pleasant Hill, Calif. / College Park HS / Diablo Valley CC",,
Nebraska,23,Isaac Gifford,S,6-1,205,So.,"Lincoln, Neb. / Southeast",,
Nebraska,23,Anthony Grant,RB,5-11,210,Jr.,"Buford, Ga. / Buford HS / Florida State / New Mexico Military Institute",,
Nebraska,24,Thomas Fidone II,TE,6-6,235,R-Fr.,"Council Bluffs, Iowa / Lewis Central",,
Nebraska,25,Javier Morton,DB,6-2,185,So.,"Atlanta, Ga. / Stephenson HS / Garden City (Kan.) CC",,
Nebraska,26,Koby Bretz,DB,6-2,195,R-Fr.,"Omaha, Neb. / Westside",,
Nebraska,28,Luke Reimer,ILB,6-1,225,Jr.,"Lincoln, Neb. / North Star",,
Nebraska,29,Ashton Hausmann,DB,5-11,215,R-Fr.,"Roca, Neb. / Norris",,
Nebraska,29,Cooper Jewett,RB,5-10,190,So.,"Omaha, Neb. / Elkhorn South",,
Nebraska,30,Randolph Kpai,ILB,6-2,210,R-Fr.,"Sioux Falls, S.D. / Washington",,
Nebraska,30,Markese Stepp,RB,6-1,230,Jr.,"Indianapolis, Ind. / Cathedral HS / USC",,
Nebraska,31,Chris Kolarevic,ILB,6-1,230,Sr.,"Traverse City, Mich. / Saint Francis HS/Northern Iowa",,
Nebraska,32,Brody Belt,WR,5-9,185,Jr.,"Omaha, Neb. / Millard West",,
Nebraska,33,Javin Wright,S,6-4,210,So.,"Chandler, Ariz. / Hamilton",,
Nebraska,34,Simon Otte,OLB,6-2,205,Jr.,"York, Neb. / York",,
Nebraska,34,Beau Psencik,RB,6-0,205,R-Fr.,"Houston, Texas / Lutheran South Academy",,
Nebraska,35,Derek Branch,DB,5-11,175,R-Fr.,"Lincoln, Neb. / Southeast",,
Nebraska,35,John Bullock,OLB,6-0,215,So.,"Omaha, Neb. / Creighton Prep",,
Nebraska,35,Trevin Luben,RB,5-11,200,R-Fr.,"Wahoo, Neb. / Wahoo",,
Nebraska,36,Blake Closman,DB,5-10,190,R-Fr.,"Elkhorn, Neb. / Millard North",,
Nebraska,36,Chase Contreraz,PK,6-1,180,Jr.,"Missouri Valley, Iowa / Missouri Valley HS / Iowa Western CC",,
Nebraska,36,Taveon Thompson,WR,6-4,200,R-Fr.,"Lincoln, Neb. / Southeast",,
Nebraska,37,Isaiah Harris,RB,5-8,190,R-Fr.,"Omaha, Neb. / Millard South",,
Nebraska,37,Phalen Sanford,CB,5-11,200,Jr.,"Benkelman, Neb. / Dundy County-Stratton HS / Hastings College",,
Nebraska,38,Damian Jackson,OLB,6-2,270,Sr.,"Las Vegas, Nev. / Shadow Ridge",,
Nebraska,39,Matthew Schuster,RB,5-10,190,R-Fr.,"Ashland, Neb. / Cozad HS / Ashland-Greenwood HS",,
Nebraska,40,Darius Moore,DB,6-1,185,Sr.,"Tiffen, Iowa / Clear Creek Amana HS / Iowa Western CC",,
Nebraska,41,Elliott Brown,WR,6-1,180,R-Fr.,"Omaha, Neb. / Elkhorn South",,
Nebraska,41,Christian Lilienkamp,DB,6-0,170,R-Fr.,"Bellevue, Neb. / Bellevue West",,
Nebraska,41,Garrett Snodgrass,ILB,6-3,225,So.,"York, Neb. / York",,
Nebraska,42,Nick Henrich,ILB,6-3,225,So.,"Omaha, Neb. / Burke",,
Nebraska,43,Michael Booker III,DB,6-1,195,R-Fr.,"Grand Prairie, Texas / South Grand Prairie",,
Nebraska,44,Garrett Nelson,OLB,6-3,245,Jr.,"Scottsbluff, Neb. / Scottsbluff",,
Nebraska,44,Aiden Young,RB,5-9,175,R-Fr.,"Omaha, Neb. / Elkhorn",,
Nebraska,45,Truitt Robinson,WR,6-0,190,R-Fr.,"Gilbert, Ariz. / Higley",,
Nebraska,46,Grant Buda,LB,6-0,205,R-Fr.,"Lincoln, Neb. / Southwest",,
Nebraska,46,John Goodwin,TE,6-2,255,So.,"Lincoln, Neb. / Lincoln High",,
Nebraska,48,Evan Meyersick,TE,6-5,185,R-Fr.,"Omaha, Neb. / Millard West",,
Nebraska,49,Nate Boerkircher,TE,6-4,220,R-Fr.,"Aurora, Neb. / Aurora",,
Nebraska,50,Sam Hoskinson,OL,6-0,245,R-Fr.,"Omaha, Neb. / Elkhorn South",,
Nebraska,50,Jailen Weaver,DL,6-8,320,R-Fr.,"Antioch, Calif. / Antioch",,
Nebraska,51,Braden Klover,ILB,6-2,230,R-Fr.,"Wymore, Neb. / Southern",,
Nebraska,52,Mosai Newsom,DL,6-4,285,So.,"Waverly, Iowa / Waverly-Shell Rock",,
Nebraska,53,Jake Archer,ILB,6-1,215,Jr.,"Omaha, Neb. / Skutt Catholic",,
Nebraska,53,Riley Moses,OL,6-2,305,So.,"Fairmont, Neb. / Fillmore Central",,
Nebraska,54,Bryce Benhart,OL,6-9,330,So.,"Lakeville, Minn. / Lakeville North",,
Nebraska,54,Ryan Schommer,OLB,6-5,260,Jr.,"Norfolk, Neb. / Norfolk",,
Nebraska,55,Brady Weas,LS,6-2,260,Sr.,"Whitefish Bay, Wis. / Whitefish Bay / Georgetown",,
Nebraska,56,Grant Tagge,ILB,6-1,205,So.,"Omaha, Neb. / Westside",,
Nebraska,57,Ethan Piper,OL,6-3,305,So.,"Norfolk, Neb. / Norfolk Catholic",,
Nebraska,58,Ian Boerkircher,OL,6-6,280,Jr.,"Aurora, Neb. / Aurora HS / Nebraska-Kearney",,
Nebraska,58,Chris Cassidy,ILB,6-1,215,Jr.,"Lincoln, Neb. / Pius X",,
Nebraska,59,Henry Lutovsky,OL,6-6,330,R-Fr.,"Crawfordsville, Iowa / Mount Pleasant",,
Nebraska,62,Noah Stafursky,OL,6-4,330,So.,"York, Neb. / York",,
Nebraska,63,Ru'Quan Buckley,DL,6-5,290,R-Fr.,"Wyoming, Mich. / Godwin Heights",,
Nebraska,63,Nouredin Nouili,OL,6-4,315,Jr.,"Frankfurt, Germany / Norris HS / Colorado State",,
Nebraska,65,Teddy Prochazka,OL,6-9,305,So.,"Elkhorn, Neb. / South",,
Nebraska,66,Ezra Miller,OL,6-6,315,So.,"Holstein, Iowa / Ridge View HS / Iowa",,
Nebraska,67,Joey Mancino,OL,6-3,300,R-Fr.,"Holmdel, N.J. / Holmdel",,
Nebraska,69,Turner Corcoran,OL,6-6,300,So.,"Lawrence, Kan. / Free State",,
Nebraska,71,Keegan Menning,OL,6-5,335,R-Fr.,"Fremont, Neb. / Fremont",,
Nebraska,72,Nash Hutmacher,DL,6-4,325,So.,"Oacoma, S.D. / Chamberlain",,
Nebraska,72,Kevin Williams Jr.,OL,6-5,330,Sr.,"Omaha, Neb. / North HS / Northern Colorado",,
Nebraska,73,Broc Bando,OL,6-5,315,Sr.,"Lincoln, Neb. / IMG Academy",,
Nebraska,74,Brant Banks,OL,6-7,305,So.,"Houston, Texas / Westbury Christian",,
Nebraska,75,Trent Hixson,OL,6-4,320,Sr.,"Omaha, Neb. / Skutt Catholic",,
Nebraska,76,Beau Schaller,OL,6-2,265,R-Fr.,"Waukee, Iowa / Waukee",,
Nebraska,76,Eli Simonson,OL,6-5,295,R-Fr.,"Fremont, Neb. / Archbishop Bergan",,
Nebraska,77,Michael Lynn,OL,6-6,295,So.,"Greenwood Village, Colo. / Cherry Creek",,
Nebraska,78,Hunter Anthony,OL,6-6,320,Jr.,"Tuttle, Okla. / Tuttle HS / Oklahoma State",,
Nebraska,79,Alex Conn,OL,6-6,300,R-Fr.,"Derby, Kan. / Derby",,
Nebraska,80,Shawn Hardy II,WR,6-3,190,R-Fr.,"Kingsland, Ga. / Camden County",,
Nebraska,80,Jacob Herbek,TE,6-5,265,So.,"Grand Island, Neb. / Central Catholic",,
Nebraska,81,James Carnie,TE,6-5,230,R-Fr.,"Roca, Neb. / Norris",,
Nebraska,82,Chancellor Brewington,TE/WR,6-3,185,Sr.,"Chandler, Ariz. / Hamilton HS / Northern Arizona",,
Nebraska,82,Colton Feist,DL,6-2,280,Jr.,"Yutan, Neb. / Yutan",,
Nebraska,83,Travis Vokolek,TE,6-6,260,Sr.,"Springfield, Mo. / Kickapoo HS / Rutgers",,
Nebraska,84,Alex Bullock,WR,6-2,190,R-Fr.,"Omaha, Neb. / Creighton Prep",,
Nebraska,85,Wyatt Liewer,WR,6-4,195,Jr.,"O'Neill, Neb. / O'Neill",,
Nebraska,86,AJ Rollins,TE,6-6,230,R-Fr.,"Omaha, Neb. / Creighton Prep",,
Nebraska,87,Chris Hickman,TE,6-5,215,So.,"Omaha, Neb. / Burke",,
Nebraska,88,Victor Jones Jr.,WR,6-2,190,Fr.,"Orlando, Fla. / Olympia",,
Nebraska,89,Oliver Martin,WR,6-1,200,Sr.,"Coralville, Iowa / Iowa City West / Michigan / Iowa",,
Nebraska,90,Jacob Hohl,P,6-2,220,So.,"Lincoln, Neb. / Southwest HS / Nebraska Wesleyan",,
Nebraska,91,Cameron Pieper,LS,6-3,260,Jr.,"Lincoln, Neb. / Southwest",,
Nebraska,92,Brendan Franke,PK,6-3,215,So.,"Gretna, Neb. / Gretna HS / Morningside",,
Nebraska,92,Tate Wildeman,DL,6-6,280,Jr.,"Parker, Colo. / Legend",,
Nebraska,93,Gabe Heins,PK,6-0,185,So.,"Kearney, Neb. / Kearney",,
Nebraska,94,Cade Mueller,LS,6-0,220,Jr.,"Gretna, Neb. / Gretna",,
Nebraska,95,Brian Buschini,P,6-0,215,So.,"Helena, Mont. / Capital HS / Montana",,
Nebraska,95,Grant Detlefsen,P,6-3,210,So.,"Lincoln, Neb. / Southeast",,
Nebraska,96,Marquis Black,DL,6-3,315,R-Fr.,"McDonough, Ga. / Eagle's Landing Christian Academy",,
Nebraska,96,Camden Witucki,LS,6-2,225,R-Fr.,"Grand Blanc, Mich. / Grand Blanc Community",,
Nebraska,97,Blaise Gunnerson,OLB,6-6,255,R-Fr.,"Carroll, Iowa / Kuemper Catholic",,
Nebraska,98,Casey Rogers,DL,6-5,295,Jr.,"Syracuse, N.Y. / Westhill HS / Old Farms (Conn.) Prep",,
Nebraska,99,Ty Robinson,DL,6-6,305,So.,"Gilbert, Ariz. / Higley",,
Nebraska,,Ajay Allen,RB,5-11,185,Fr.,"Monroe, La. / Neville",,
Nebraska,,Chase Androff,TE,6-6,230,Fr.,"Lakeville, Minn. / South",,
Nebraska,,Jake Appleget,OLB,6-4,210,Fr.,"Lincoln, Neb. / Southeast",,
Nebraska,,Janiran Bonner,WR,6-3,200,Fr.,"Ellenwood, Ga. / Cedar Grove",,
Nebraska,,Decoldest Crawford,WR,6-2,190,Fr.,"Shreveport, La. / Green Oaks",,
Nebraska,,Justin Evans-Jenkins,OL,6-2,280,Fr.,"East Orange, N.J. / Irvington",,
Nebraska,,Malcolm Hartzog,CB,5-10,175,Fr.,"Silver Creek, Miss. / Jefferson Davis County",,
Nebraska,,Cooper Hausmann,DB,5-11,185,Fr.,"Roca, Neb. / Norris",,
Nebraska,,Emmett Johnson,RB,6-0,185,Fr.,"Minneapolis, Minn. / Academy of Holy Angels",,
Nebraska,,Luke Lindenmeyer,TE,6-4,250,Fr.,"La Vista, Neb. / Papillion-La Vista",,
Nebraska,,Jalil Martin,S,6-3,190,Fr.,"Chicago, Ill. / Kenwood Academy",,
Nebraska,,Blake Miller,DB,6-1,195,Fr.,"Nebraska City, Neb. / Lourdes Central Catholic",,
Nebraska,,Gage Stenger,ATH,6-2,200,Fr.,"Omaha, Neb. / Millard South",,
Nebraska,,Brodie Tagaloa,DL,6-4,260,Fr.,"Pittsburg, Calif. / De La Salle",,
Nebraska,,Charlie Weinrich,PK,5-11,185,Fr.,"Leawood, Kan. / Blue Valley",,
Illinois,0,Josh McCray,RB,6-1,240,So.,"Enterprise, Ala.",Enterprise,
Illinois,0,Keith Randolph Jr.,DL,6-5,300,So.,"Belleville, Ill.",Belleville West,
Illinois,1,Kionte Curry,DB,6-0,195,R-Fr.,"Mims, Fla.",Cocoa,
Illinois,1,Isaiah Williams,WR,5-10,180,So.,"St. Louis, Mo.",Trinity Catholic,
Illinois,2,Chase Brown,RB,5-11,205,Jr.,"London, Ontario",St. Stephens Episcopal (Fla.),Western Michigan
Illinois,3,Tommy DeVito,QB,6-2,210,Sr.,"Cedar Grove, N.J.",Don Bosco Prep,Syracuse
Illinois,3,DD Snyder II,DB,6-0,175,R-Fr.,"Tampa, Fla.",Tampa Catholic,
Illinois,4,Jer'Zhan Newton,DL,6-2,290,So.,"St. Petersburg, Fla.",Clearwater Central Catholic,
Illinois,4,Khmari Thompson,WR,6-1,210,Jr.,"Lawrenceville, Ga.",Central Gwennett,Missouri
Illinois,5,Caleb Griffin,K,6-3,225,Jr.,"Danville, Ill.",Danville,
Illinois,5,Calvin Hart Jr.,LB,6-1,230,Jr.,"Fort Lauderdale, Fla.",American Heritage,North Carolina State
Illinois,5,Aidan Laughery,RB,5-11,190,Fr.,"Gibson City, Ill.",GCMS,
Illinois,6,Will McManus,K,5-10,175,Fr.,"Glyndon, Md.",The Hun School (N.J.),
Illinois,7,Brian Hightower,WR,6-3,215,Sr.,"Los Angeles, Calif.",IMG Academy (Fla.),Miami (Fla.)
Illinois,7,Kendall Smith,DB,6-1,200,Sr.,"Bolingbrook, Ill.",Bolingbrook,
Illinois,8,Tarique Barnes,LB,6-1,230,Jr.,"Memphis, Tenn.",Cordova,
Illinois,8,Shawn Miller,WR,6-1,190,Fr.,"Chandler, Ariz.",IMG Academy (Fla.),
Illinois,9,Artur Sitkowski,QB,6-5,225,Jr.,"Old Bridge, N.J.",IMG Academy (Fla.),Rutgers
Illinois,9,Coran Taylor,DB,6-2,200,Jr.,"Peoria, Ill.",Peoria,
Illinois,10,Tahveon Nicholson,DB,5-11,175,So.,"Jacksonville, Fla.",Lee,
Illinois,11,Jake Huber,QB,6-1,210,R-Fr.,"Spring Grove, Ill.",Richmond-Burton,
Illinois,12,Elijah Mc-Cantos,DB,6-0,175,Fr.,"Miami, Fla.",Edison,
Illinois,13,Pat Bryant,WR,6-3,195,So.,"Jacksonville, Fla.",Atlantic Coast,
Illinois,14,Casey Washington,WR,6-2,190,Jr.,"Round Rock, Texas",Pflugerville,
Illinois,15,Prince Green,DB,6-3,205,R-Fr.,"Griffin, Ga.",Griffin,
Illinois,15,Ty Lindenman,WR,5-6,165,R-Fr.,"Shawnee, Kan.",Shawnee Mission Northwest,
Illinois,16,Samari Collier,QB,6-2,230,R-Fr.,"Dallas, Texas",DeSoto,
Illinois,17,Ryan Johnson,QB,6-4,200,Sr.,"Green Bay, Wis.",Ashwaubenon,Northern Michigan
Illinois,18,Chase Miller,WR,6-1,175,Fr.,"Baltimore, Md.",IMG Academy (Fla.),
Illinois,19,Eian Pugh,WR,6-3,160,Fr.,"Naperville, Ill.",Fenwick,
Illinois,19,Hugh Robertson,P,6-2,225,R-Fr.,"Melbourne, Australia",Assumption College Kilmore,
Illinois,20,Tyler Strain,DB,5-9,175,R-Fr.,"Pace, Fla.",Pace (Fla.),
Illinois,21,Jartavius Martin,DB,6-0,195,Sr.,"Lehigh Acres, Fla.",Lehigh Acres,
Illinois,22,Chase Hayden,RB,5-10,205,Sr.,"Memphis, Tenn.",Saint George's Independent,Arkansas/ECU
Illinois,22,Peyton Vining,DB,6-2,200,Sr.,"Bradenton, Fla.",Saint Stephens,Denison
Illinois,23,TeRah Edwards,DL,6-2,310,R-Fr.,"Groveport, Ohio",Groveport Madison,Northwestern
Illinois,23,Reggie Love III,RB,5-11,195,So.,"St. Louis, Mo.",Trinity Catholic,
Illinois,24,Nick Fedanzo,RB,6-0,205,So.,"Lombard, Ill.",Montini Catholic,
Illinois,25,Jordan Anderson,RB,6-4,240,Fr.,"Naperville, Ill.",Joliet Catholic,
Illinois,25,Jared Badie,OLB,6-3,215,Fr.,"Aurora, Ill.",Oswego East,
Illinois,26,DJ Johnson,OLB,6-4,225,So.,"Snellville, Ga.",South Gwinnett,
Illinois,27,Matthew Bobak,RB,5-11,190,R-Fr.,"Hinsdale, Ill.",Hinsdale Central,
Illinois,27,Mike Manning,DB,5-8,190,So.,"Frankfort, Ill.",Lincoln-Way East,Butler
Illinois,28,Dylan Rosiek,LB,6-1,215,R-Fr.,"East Lake, Fla.",East Lake,
Illinois,30,Sydney Brown,DB,6-0,205,Sr.,"London, Ontario",St. Stephens Episcopal (Fla.),
Illinois,31,Devon Witherspoon,DB,6-0,180,Jr.,"Pensacola, Fla.",Pine Forest,
Illinois,32,Tailon Leitzsey,DB,6-0,185,Sr.,"Laurel, Md.",Riverside,Missouri Baptist University
Illinois,33,Ezekiel Holmes,OLB,6-5,245,Jr.,"Wichita Falls, Texas",Hirschi,
Illinois,34,Ryan Meed,LB,6-1,225,So.,"Brooklyn, N.Y.",Canarsie,
Illinois,35,Grayson Griffin,DB,5-11,180,Fr.,"Aurora, Ill.",St. Francis,
Illinois,36,Lane Hansen,LS,6-0,220,R-Fr.,"East Lake, Fla.",East Lake,
Illinois,36,Ben Schultz,OLB,6-3,230,So.,"Champaign, Ill.",Central,
Illinois,38,Isaac Darkangelo,LB,6-1,235,Sr.,"Brighton, Mich.",Detroit Catholic Central,
Illinois,39,Aidan Hall,LS,6-2,205,So.,"Glen Ellyn, Ill.",Benet Academy,
Illinois,39,Kenenna Odeluga,LB,6-1,225,R-Fr.,"South Holland, Ill.",Mount Carmel,
Illinois,40,Lucas Althaus,TE,6-6,230,R-Fr.,"Alpha, Ill.",Alwood,
Illinois,40,Shammond Cooper,OLB,6-2,220,So.,"St. Louis, Mo.",Trinity Catholic,
Illinois,41,Preston Engel,LS,6-0,250,Jr.,"Normal, Ill.",Normal Community,
Illinois,41,Joriell Washington,OLB,6-3,200,R-Fr.,"Fort Myers, Fla.",Fort Myers Sr.,
Illinois,42,Michael Marchese,TE,6-4,235,Sr.,"Vernon Hills, Ill.",Stevenson,
Illinois,42,Luke Zardzin,LB,6-0,205,R-Fr.,"Mount Prospect, Ill.",Prospect,
Illinois,43,Griffin Moore,TE,6-4,245,So.,"Bloomington, Ill.",Bloomington,
Illinois,44,Grant Hidalgo,TE,6-5,240,R-Fr.,"Orlando, Fla.",Dr. Phillips,Stetson
Illinois,45,Malachi Hood,LB,6-2,210,Fr.,"Plainfield, Ill.",Joliet Catholic,
Illinois,48,Bryce Barnes,DL,6-2,255,Jr.,"Gibson City, Ill.",Gibson City-Melvin-Sibley,
Illinois,48,Mike Cerniglia Jr.,TE,6-3,240,So.,"Madison, Wis.",Memorial,Northern Illinois
Illinois,49,Seth Coleman,OLB,6-5,235,So.,"Melbourne, Fla.",Holy Trinity Episcopal Academy,
Illinois,52,Verdis Brown,DL,6-4,345,Jr.,"Chicago, Ill.",IMG Academy (Fla.),
Illinois,53,Devin Hale,OL,6-0,310,R-Fr.,"Springfield, Ill.",Sacred Heart-Griffin,
Illinois,54,Julian Pearl,OL,6-6,310,Jr.,"Danville, Ill.",Danville,
Illinois,54,Kalen Villanueva,LB,6-1,210,R-Fr.,"Falls Church, Va.",Justice,
Illinois,55,Sed McConnell,DL,6-3,280,R-Fr.,"Atlanta, Ga.",Westlake,
Illinois,57,Evan Kirts,OL,6-5,300,So.,"Evergreen Park, Ill.",Brother Rice,
Illinois,59,Josh Plohr,OL,6-3,300,So.,"St. Louis, Mo.",Christian Brothers College HS,
Illinois,62,Terry Zapf,OL,6-6,310,So.,"Winnetka, Ill.",New Trier,Williams (Mass.)
Illinois,63,Alex Palczewski,OL,6-6,315,Sr.,"Mount Prospect, Ill.",Prospect,
Illinois,64,Josh Kreutz,OL,6-2,280,R-Fr.,"Bannockburn, Ill.",Loyola Academy,
Illinois,66,Jordyn Slaughter,OL,6-5,320,Jr.,"Belleville, Ill.",Althoff Catholic,
Illinois,67,Brody Wisecarver,OL,6-5,300,R-Fr.,"Chesterfield, Mo.",Osage,
Illinois,68,Zachary Barlev,OL,6-5,300,R-Fr.,"Bolingbrook, Ill.",Plainfield East,
Illinois,70,Tommy Cronin,OL,6-4,305,So.,"Oak Park, Ill.",Oak Park River Forest,
Illinois,72,Zy Crisler,OL,6-6,360,So.,"Crystal Springs, Miss.",Copiah Academy,Mississippi Gulf Coast CC
Illinois,73,Josh Gesky,OL,6-5,300,R-Fr.,"Manteno, Ill.",Manteno,
Illinois,75,Alex Pihlstrom,OL,6-6,300,Sr.,"Glen Ellyn, Ill.",Glenbard West,
Illinois,78,Isaiah Adams,OL,6-5,310,Jr.,"Ajax, Canada",McLellan Catholic,Garden City CC (Kan.)
Illinois,80,Fabrizio Pinton,K/P,6-3,225,R-Fr.,"Houston, Texas",The Woodlands,Air Force
Illinois,81,Daniel Edwards,WR,5-11,160,R-Fr.,"Winter Park, Fla.",Winter Park,
Illinois,82,Luke Ford,TE,6-6,260,Sr.,"Carterville, Ill.",Carterville,Georgia
Illinois,83,Keion Battle,WR,6-1,190,R-Fr.,"Plainfield, Ill.",Oswego East,Northern Illinois
Illinois,84,Owen Anderson,TE,6-4,225,Fr.,"Skillman, N.J.",The Hun School,
Illinois,84,Owen Hickey,WR,6-2,180,R-Fr.,"Des Plaines, Ill.",Saint Viator,
Illinois,85,Miles Scott,WR,5-11,190,R-Fr.,"Dolton, Ill.",Thornton Fractional North,
Illinois,86,Weston Adams,WR,5-11,190,Fr.,"Shell, Wyo.",IMG Academy (Fla.),
Illinois,87,Jordan Knowles,WR,5-10,165,Fr.,"Romeoville, Ill.",Plainfield East,
Illinois,89,Tip Reiman,TE,6-5,250,So.,"Rapid City, S.D.",O'Gorman,
Illinois,90,Alec Bryant,OLB,6-3,240,R-Fr.,"Pearland, Texas",Shadow Creek,Virginia Tech
Illinois,91,Jamal Woods,DL,6-2,290,Sr.,"Hueytown, Ala.",Hueytown,
Illinois,93,Calvin Avery,DL,6-2,335,Sr.,"Dallas, Texas",Bishop Dunne,
Illinois,98,Deon Pate,DL,6-2,265,Sr.,"Jacksonville, Fla.",Trinity Christian Academy,
Indiana,0,"McCullough, Dasan",LB,6-5,223,Fr.,"Bloomington, Ind. / Bloomington South",,
Indiana,0,"Simmons, Emery",WR,6-1,187,Sr.,"Parkton, N.C. / South View",,North Carolina
Indiana,1,"Matthews, Devon",DB,6-2,204,Sr.,"Jacksonville, Fla. / Ribault",,
Indiana,1,"McCulley, Donaven",QB,6-5,210,So.,"Indianapolis, Ind. / Lawrence North",,
Indiana,2,"Monds III, James",DB,5-11,178,Fr.,"Vero Beach, Fla. / Vero Beach",,
Indiana,2,"Shivers, Shaun",RB,5-7,190,Sr.,"Fort Lauderdale, Fla. / Chaminade-Madonna",,Auburn
Indiana,3,"Mullen, Tiawan",DB,5-10,180,Sr.,"Fort Lauderdale, Fla. / Coconut Creek",,
Indiana,4,"Baker, David",WR,6-3,199,R-So.,"Indianapolis, Ind. / Scecina Memorial",,
Indiana,4,"Jones, Cam",LB,6-3,222,Sr.,"Memphis, Tenn. / St. Benedict at Auburndale",,
Indiana,5,"Jennings Jr., Bradley",LB,6-1,222,R-Sr.,"Jacksonville, Fla. / Sandalwood",,Miami (Fla.)
Indiana,5,"Williams II, Dexter",QB,6-1,217,R-So.,"Macon, Ga. / Mount de Sales Academy",,
Indiana,6,"Camper, Cam",WR,6-2,201,Jr.,"Lancaster, Texas / Lancaster",,Trinity Valley C.C.
Indiana,6,"Head Jr., James",DL,6-5,258,Sr.,"Miami, Fla. / Southridge",,
Indiana,7,"Keys, Christopher",DB,6-0,185,R-So.,"Collins, Miss. / Collins",,
Indiana,7,"Matthews Jr., D.J.",WR/RS,5-11,160,Gr.,"Jacksonville, Fla. / Trinity Christian Academy",,Florida State
