Sport,Season,Rank,Team,W,L
WBB,2021-22,231,Coppin State,15,13
WBB,2021-22,232,Furman,18,14
WBB,2021-22,233,Western Illinois,12,15
WBB,2021-22,234,Samford,11,17
WBB,2021-22,235,North Carolina A&T,14,15
WBB,2021-22,236,Northern Colorado,14,16
WBB,2021-22,237,North Dakota State,9,18
WBB,2021-22,238,Southeastern Louisiana,14,11
WBB,2021-22,239,Tennessee-Martin,12,18
WBB,2021-22,240,Robert Morris,13,15
WBB,2021-22,241,North Florida,10,17
WBB,2021-22,242,Georgetown,9,19
WBB,2021-22,243,Wagner,17,12
WBB,2021-22,244,Alabama A&M,15,14
WBB,2021-22,245,Hampton,13,16
WBB,2021-22,246,Fresno State,9,18
WBB,2021-22,247,Southern,12,17
WBB,2021-22,248,Saint Bonaventure,11,16
WBB,2021-22,249,UC San Diego,12,14
WBB,2021-22,250,UMass-Lowell,11,16
WBB,2021-22,251,Iona,11,16
WBB,2021-22,252,Long Island,9,18
WBB,2021-22,253,Utah State,10,19
WBB,2021-22,254,FIU,12,16
WBB,2021-22,255,Lafayette,12,18
WBB,2021-22,256,Coastal Carolina,12,11
WBB,2021-22,257,Saint Peter's,13,18
WBB,2021-22,258,Sacramento State,13,16
WBB,2021-22,259,Texas Southern,11,15
WBB,2021-22,260,Monmouth,14,16
WBB,2021-22,261,Wisconsin,8,21
WBB,2021-22,262,Hofstra,7,20
WBB,2021-22,263,William & Mary,9,20
WBB,2021-22,264,SIUE,13,18
WBB,2021-22,265,Xavier,9,21
WBB,2021-22,266,Indiana State,10,20
WBB,2021-22,267,Tennessee State,11,19
WBB,2021-22,268,Navy,10,21
WBB,2021-22,269,Valparaiso,11,19
WBB,2021-22,270,North Alabama,10,15
WBB,2021-22,271,Arkansas-Pine Bluff,12,16
WBB,2021-22,272,Arkansas State,9,16
WBB,2021-22,273,Omaha,6,19
WBB,2021-22,274,UTSA,7,23
WBB,2021-22,275,Grambling State,14,17
WBB,2021-22,276,Eastern Kentucky,11,16
WBB,2021-22,277,Cal State Fullerton,11,18
WBB,2021-22,278,Denver,8,20
WBB,2021-22,279,Rider,9,21
WBB,2021-22,280,Georgia State,8,16
WBB,2021-22,281,Cornell,8,16
WBB,2021-22,282,Cal State Northridge,7,19
WBB,2021-22,283,Illinois,7,20
WBB,2021-22,284,Saint Francis (PA),8,22
WBB,2021-22,285,Kennesaw State,8,19
WBB,2021-22,286,McNeese,10,15
WBB,2021-22,287,Miami (OH),8,21
WBB,2021-22,288,Lipscomb,6,20
WBB,2021-22,289,Eastern Michigan,6,20
WBB,2021-22,290,Pacific,5,23
WBB,2021-22,291,Pepperdine,8,17
WBB,2021-22,292,Seattle University,9,19
WBB,2021-22,293,Marist,8,21
WBB,2021-22,294,Prairie View A&M,10,17
WBB,2021-22,295,Weber State,11,20
WBB,2021-22,296,New Mexico State,8,19
WBB,2021-22,297,Dixie State,6,19
WBB,2021-22,298,Siena,10,19
WBB,2021-22,299,Maryland Eastern Shore,9,16
WBB,2021-22,300,Central Michigan,4,25
WBB,2021-22,301,Merrimack,9,17
WBB,2021-22,302,Bryant,9,22
WBB,2021-22,303,Presbyterian College,11,18
WBB,2021-22,304,Dartmouth,3,23
WBB,2021-22,305,Brown,5,20
WBB,2021-22,306,Incarnate Word,11,17
WBB,2021-22,307,Saint Thomas,6,21
WBB,2021-22,308,Boise State,6,21
WBB,2021-22,309,Sacred Heart,8,17
WBB,2021-22,310,South Alabama,5,18
WBB,2021-22,311,San Jose State,4,25
WBB,2021-22,312,UNC Asheville,8,22
WBB,2021-22,313,Eastern Washington,7,21
WBB,2021-22,314,Central Arkansas,6,19
WBB,2021-22,315,New Hampshire,6,21
WBB,2021-22,316,Chattanooga,7,23
WBB,2021-22,317,Wright State,3,19
WBB,2021-22,318,FAU,3,25
WBB,2021-22,319,Butler,1,27
WBB,2021-22,320,Colgate,6,24
WBB,2021-22,321,Evansville,7,22
WBB,2021-22,322,Chicago State,4,23
WBB,2021-22,323,Bradley,3,23
WBB,2021-22,324,East Tennessee State,6,22
WBB,2021-22,325,Northwestern State,8,14
WBB,2021-22,326,Loyola-Maryland,5,24
WBB,2021-22,327,UNCW,2,26
WBB,2021-22,328,New Orleans,4,18
WBB,2021-22,329,Cal State Bakersfield,4,20
WBB,2021-22,330,Binghamton,7,20
WBB,2021-22,331,Purdue Fort Wayne,5,21
WBB,2021-22,332,Central Connecticut,6,20
WBB,2021-22,333,UNCG,8,19
WBB,2021-22,334,Cal Poly,3,22
WBB,2021-22,335,Hartford,4,26
WBB,2021-22,336,South Carolina State,4,25
WBB,2021-22,337,Canisius,6,25
WBB,2021-22,338,Southeast Missouri,4,23
WBB,2021-22,339,Radford,5,23
WBB,2021-22,340,UMBC,2,23
WBB,2021-22,341,Nicholls,2,22
WBB,2021-22,342,Bethune-Cookman,4,21
WBB,2021-22,343,Florida A&M,3,24
WBB,2021-22,344,Winthrop,5,22
WBB,2021-22,345,UIC,2,25
WBB,2021-22,346,North Carolina Central,3,20
WBB,2021-22,347,Bellarmine,2,24
WBB,2021-22,348,Portland State,3,24
WBB,2021-22,349,ULM,1,25
WBB,2021-22,350,Detroit,1,27
WBB,2021-22,351,Alcorn State,2,22
WBB,2021-22,352,Mississippi Valley State,4,22
WBB,2021-22,353,Delaware State,0,24
WBB,2021-22,354,Western Carolina,3,23
WBB,2021-22,355,Morehead State,0,27
WBB,2021-22,356,Charleston Southern,2,26
