Team,Conference,ConferenceAbbrev,Power5,Nickname,Name1,Name2,Name3,Name4,Name5,Name6,Name7
Troy,Sun Belt,Sun Belt,FALSE,Trojans,TROY,Troy St.,Troy St,Troy State,,,
Cal Poly,Big Sky,Big Sky,FALSE,Mustangs,CP,,,,,,
Eastern Washington,Big Sky,Big Sky,FALSE,Eagles,EWU,E Washington,Eastern Washington Eagles,E. Washington,,,
Idaho,Big Sky,Big Sky,FALSE,Vandals,IDHO,,,,,,
Idaho State,Big Sky,Big Sky,FALSE,Bengals,IDST,Idaho St,Idaho St.,,,,
Montana,Big Sky,Big Sky,FALSE,Grizzlies,MONT,,,,,,
Montana State,Big Sky,Big Sky,FALSE,Bobcats,MTST,Montana St,Montana St.,,,,
Northern Arizona,Big Sky,Big Sky,FALSE,Lumberjacks,NAU,N Arizona,,,,,
Northern Colorado,Big Sky,Big Sky,FALSE,Bears,UNCO,N Colorado,,,,,
Portland State,Big Sky,Big Sky,FALSE,Vikings,PRST,Portland St,Portland St.,,,,
Sacramento State,Big Sky,Big Sky,FALSE,Hornets,SAC,Sacramento St,Sacramento St.,,,,
Southern Utah,Big Sky,Big Sky,FALSE,Thunderbirds,SUU,,,,,,
UC Davis,Big Sky,Big Sky,FALSE,Aggies,UCD,,,,,,
Weber State,Big Sky,Big Sky,FALSE,Wildcats,WEB,Weber St,Weber St.,,,,
Charleston Southern,Big South,Big South,FALSE,Buccaneers,CHSO,Charleston So,,,,,
Campbell,Big South,Big South,FALSE,Fighting Camels,CAMP,,,,,,
Gardner-Webb,Big South,Big South,FALSE,Bulldogs,WEBB,,,,,,
Kennesaw State,Big South,Big South,FALSE,Owls,KENN,Kennesaw St,Kennesaw St.,,,,
Monmouth,Big South,Big South,FALSE,Hawks,MONM,,,,,,
Presbyterian,Big South,Big South,FALSE,Blue Hose,PRE,Presbyterian College,,,,,
Albany,Colonial Athletic,CAA,FALSE,Great Danes,ALBY,,,,,,
Delaware,Colonial Athletic,CAA,FALSE,Blue Hens,DEL,,,,,,
Elon,Colonial Athletic,CAA,FALSE,Phoenix,ELON,,,,,,
James Madison,Colonial Athletic,CAA,FALSE,Dukes,JMU,,,,,,
Maine,Colonial Athletic,CAA,FALSE,Black Bears,MAINE,,,,,,
New Hampshire,Colonial Athletic,CAA,FALSE,Wildcats,UNH,,,,,,
Rhode Island,Colonial Athletic,CAA,FALSE,Rams,URI,,,,,,
Richmond,Colonial Athletic,CAA,FALSE,Spiders,RICH,,,,,,
Stony Brook,Colonial Athletic,CAA,FALSE,Seawolves,STON,,,,,,
Towson,Colonial Athletic,CAA,FALSE,Tigers,TOWS,,,,,,
Villanova,Colonial Athletic,CAA,FALSE,Wildcats,NOVA,,,,,,
William & Mary,Colonial Athletic,CAA,FALSE,Tribe,W&M,,,,,,
Hampton,Independent (FCS),Ind (FCS),FALSE,Pirates,HAMP,,,,,,
North Alabama,Independent (FCS),Ind (FCS),FALSE,Lions,,,,,,,
North Dakota,Independent (FCS),Ind (FCS),FALSE,Fighting Hawks,UND,,,,,,
Brown,Ivy League,Ivy,FALSE,Bears,BRWN,,,,,,
Columbia,Ivy League,Ivy,FALSE,Lions,CLMB,,,,,,
Cornell,Ivy League,Ivy,FALSE,Big Red,COR,,,,,,
Dartmouth,Ivy League,Ivy,FALSE,Big Green,DART,,,,,,
Harvard,Ivy League,Ivy,FALSE,Crimson,HARV,,,,,,
Penn,Ivy League,Ivy,FALSE,Quakers,PENN,Pennsylvania,,,,,
Princeton,Ivy League,Ivy,FALSE,Tigers,PRIN,,,,,,
Yale,Ivy League,Ivy,FALSE,Bulldogs,YALE,,,,,,
