Sport,Season,Team,W,L,Rank,Conf
MBB,2019-20,Merrimack,19,11,216,NEC
MBB,2019-20,UIC,17,17,217,Horizon
MBB,2019-20,UC Davis,12,18,218,Big West
MBB,2019-20,George Washington,12,20,219,Atlantic 10
MBB,2019-20,Air Force,11,20,220,Mountain West
MBB,2019-20,Green Bay,15,16,221,Horizon
MBB,2019-20,Oakland,13,19,222,Horizon
MBB,2019-20,Lafayette,18,12,223,Patriot
MBB,2019-20,Iona,12,17,224,MAAC
MBB,2019-20,Brown,14,12,225,Ivy League
MBB,2019-20,Seattle U,12,15,226,WAC
MBB,2019-20,Northern Ariz.,14,14,227,Big Sky
MBB,2019-20,Sam Houston St.,14,13,228,Southland
MBB,2019-20,Montana St.,14,15,229,Big Sky
MBB,2019-20,Louisiana,13,19,230,Sun Belt
MBB,2019-20,San Diego,8,23,231,WCC
MBB,2019-20,Youngstown St.,16,15,232,Horizon
MBB,2019-20,CSUN,13,17,233,Big West
MBB,2019-20,Omaha,15,16,234,Summit League
MBB,2019-20,Western Mich.,11,19,235,MAC
MBB,2019-20,UMBC,12,17,236,America East
MBB,2019-20,Drexel,13,19,237,CAA
MBB,2019-20,New Hampshire,13,15,238,America East
MBB,2019-20,Bucknell,14,20,239,Patriot
MBB,2019-20,Saint Joseph's,6,26,240,Atlantic 10
MBB,2019-20,Eastern Ill.,15,15,241,OVC
MBB,2019-20,Bryant,14,17,242,NEC
MBB,2019-20,Navy,13,16,243,Patriot
MBB,2019-20,Fordham,9,22,244,Atlantic 10
MBB,2019-20,Quinnipiac,15,15,245,MAAC
MBB,2019-20,Hartford,16,15,246,America East
MBB,2019-20,Norfolk St.,13,14,247,MEAC
MBB,2019-20,Loyola Maryland,14,17,248,Patriot
MBB,2019-20,North Dakota,12,18,249,Summit League
MBB,2019-20,Utah Valley,8,19,250,WAC
MBB,2019-20,Jacksonville,12,18,251,ASUN
MBB,2019-20,Kansas City,13,14,252,WAC
MBB,2019-20,Canisius,12,20,253,MAAC
MBB,2019-20,Lipscomb,14,16,254,ASUN
MBB,2019-20,La.-Monroe,7,20,255,Sun Belt
MBB,2019-20,N.C. Central,15,13,256,MEAC
MBB,2019-20,UMass Lowell,12,19,257,America East
MBB,2019-20,Campbell,13,16,258,Big South
MBB,2019-20,Elon,10,21,259,CAA
MBB,2019-20,UTRGV,10,16,260,WAC
MBB,2019-20,Cal St. Fullerton,9,20,261,Big West
MBB,2019-20,Milwaukee,10,19,262,Horizon
MBB,2019-20,N.C. A&T;,16,15,263,MEAC
MBB,2019-20,Evansville,8,23,264,MVC
MBB,2019-20,Southern U.,15,15,265,SWAC
MBB,2019-20,Army,14,15,266,Patriot
MBB,2019-20,Lamar University,14,15,267,Southland
MBB,2019-20,Albany (NY),13,18,268,America East
MBB,2019-20,Manhattan,13,18,269,MAAC
MBB,2019-20,Tennessee St.,16,15,270,OVC
MBB,2019-20,Wyoming,8,24,271,Mountain West
MBB,2019-20,LIU,14,18,272,NEC
MBB,2019-20,Weber St.,9,20,273,Big Sky
MBB,2019-20,Troy,7,22,274,Sun Belt
MBB,2019-20,Portland,7,23,275,WCC
MBB,2019-20,Texas Southern,15,16,276,SWAC
MBB,2019-20,UNC Asheville,13,16,277,Big South
MBB,2019-20,Grand Canyon,13,16,278,WAC
MBB,2019-20,Idaho St.,6,22,279,Big Sky
MBB,2019-20,James Madison,8,21,280,CAA
MBB,2019-20,Fairleigh Dickinson,10,19,281,NEC
MBB,2019-20,Purdue Fort Wayne,11,19,282,Summit League
MBB,2019-20,CSU Bakersfield,9,19,283,WAC
MBB,2019-20,Jacksonville St.,11,19,284,OVC
MBB,2019-20,Fairfield,12,20,285,MAAC
MBB,2019-20,Bethune-Cookman,13,14,286,MEAC
MBB,2019-20,San Jose St.,6,24,287,Mountain West
MBB,2019-20,Lehigh,9,21,288,Patriot
MBB,2019-20,Jackson St.,13,17,289,SWAC
MBB,2019-20,Southern Miss.,6,22,290,C-USA
MBB,2019-20,Eastern Ky.,14,17,291,OVC
MBB,2019-20,VMI,6,24,292,SoCon
MBB,2019-20,Cornell,5,20,293,Ivy League
MBB,2019-20,Stetson,14,17,294,ASUN
MBB,2019-20,McNeese,11,17,295,Southland
MBB,2019-20,Middle Tenn.,5,23,296,C-USA
MBB,2019-20,UNCW,7,22,297,CAA
MBB,2019-20,North Ala.,11,17,298,ASUN
MBB,2019-20,Mount St. Mary's,10,21,299,NEC
MBB,2019-20,Grambling,13,15,300,SWAC
MBB,2019-20,Northwestern St.,12,15,301,Southland
MBB,2019-20,Longwood,12,18,302,Big South
MBB,2019-20,Florida A&M;,12,15,303,MEAC
MBB,2019-20,Cleveland St.,10,21,304,Horizon
MBB,2019-20,St. Francis Brooklyn,12,18,305,NEC
MBB,2019-20,Long Beach St.,9,21,306,Big West
MBB,2019-20,Detroit Mercy,8,23,307,Horizon
MBB,2019-20,Hampton,12,19,308,Big South
MBB,2019-20,Niagara,12,20,309,MAAC
