school,urlSchool
New Hampshire,https://a.espncdn.com/i/teamlogos/ncaa/500/160.png
Rhode Island,https://a.espncdn.com/i/teamlogos/ncaa/500/227.png
Richmond,https://a.espncdn.com/i/teamlogos/ncaa/500/257.png
Stony Brook,https://a.espncdn.com/i/teamlogos/ncaa/500/2619.png
Towson,https://a.espncdn.com/i/teamlogos/ncaa/500/119.png
Villanova,https://a.espncdn.com/i/teamlogos/ncaa/500/222.png
William & Mary,https://a.espncdn.com/i/teamlogos/ncaa/500/2729.png
Hampton,https://a.espncdn.com/i/teamlogos/ncaa/500/2261.png
North Alabama,https://a.espncdn.com/i/teamlogos/ncaa/500/2453.png
North Dakota,https://a.espncdn.com/i/teamlogos/ncaa/500/155.png
Brown,https://a.espncdn.com/i/teamlogos/ncaa/500/225.png
Columbia,https://a.espncdn.com/i/teamlogos/ncaa/500/171.png
Cornell,https://a.espncdn.com/i/teamlogos/ncaa/500/172.png
Dartmouth,https://a.espncdn.com/i/teamlogos/ncaa/500/159.png
Harvard,https://a.espncdn.com/i/teamlogos/ncaa/500/108.png
Penn,https://a.espncdn.com/i/teamlogos/ncaa/500/219.png
Princeton,https://a.espncdn.com/i/teamlogos/ncaa/500/163.png
Yale,https://a.espncdn.com/i/teamlogos/ncaa/500/43.png
Bethune-Cookman,https://a.espncdn.com/i/teamlogos/ncaa/500/2065.png
Delaware State,https://a.espncdn.com/i/teamlogos/ncaa/500/2169.png
Florida A&M,https://a.espncdn.com/i/teamlogos/ncaa/500/50.png
Howard,https://a.espncdn.com/i/teamlogos/ncaa/500/47.png
Morgan State,https://a.espncdn.com/i/teamlogos/ncaa/500/2415.png
Norfolk State,https://a.espncdn.com/i/teamlogos/ncaa/500/2450.png
North Carolina A&T,https://a.espncdn.com/i/teamlogos/ncaa/500/2448.png
North Carolina Central,https://a.espncdn.com/i/teamlogos/ncaa/500/2428.png
Savannah State,https://a.espncdn.com/i/teamlogos/ncaa/500/2542.png
South Carolina State,https://a.espncdn.com/i/teamlogos/ncaa/500/2569.png
Illinois State,https://a.espncdn.com/i/teamlogos/ncaa/500/2287.png
Indiana State,https://a.espncdn.com/i/teamlogos/ncaa/500/282.png
