Team,Conference,ConferenceAbbrev,Power5,FBS,Nickname,Name1,Name2,Name3,Name4,Name5,Name6,Name7,urlSchool
Vanderbilt,Southeastern,SEC,TRUE,TRUE,Commodores,VAN,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/238.png
Appalachian St.,Sun Belt,Sun Belt,FALSE,TRUE,Mountaineers,APP,Appalachian St,App State,Appalachian,Appalachian State,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2026.png
Arkansas St.,Sun Belt,Sun Belt,FALSE,TRUE,Red Wolves,ARST,Arkansas St,AKST,Arkansas State,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2032.png
Coastal Carolina,Sun Belt,Sun Belt,FALSE,TRUE,Chanticleers,CCU,C. Carolina,Coast Carolina,Coastal Car,Coastal Caro.,,,https://a.espncdn.com/i/teamlogos/ncaa/500/324.png
Georgia Southern,Sun Belt,Sun Belt,FALSE,TRUE,Eagles,GASO,Ga Southern,Ga. Southern,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/290.png
Georgia St.,Sun Belt,Sun Belt,FALSE,TRUE,Panthers,GAST,GSU,Georgia St,Georgia State,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2247.png
Louisiana,Sun Belt,Sun Belt,FALSE,TRUE,Ragin' Cajuns,ULL,Louisiana Lafayette,Louisiana-Lafayette,La.-Lafayette,UL Lafayette,,,https://a.espncdn.com/i/teamlogos/ncaa/500/309.png
UL Monroe,Sun Belt,Sun Belt,FALSE,TRUE,Warhawks,ULM,Louisiana Monroe,Louisiana-Monroe,La.-Monroe,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2433.png
South Alabama,Sun Belt,Sun Belt,FALSE,TRUE,Jaguars,USA,S Alabama,South Ala.,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/6.png
Texas St.,Sun Belt,Sun Belt,FALSE,TRUE,Bobcats,TXST,Texas St,Texas State,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/326.png
Troy,Sun Belt,Sun Belt,FALSE,TRUE,Trojans,TROY,Troy St.,Troy St,Troy State,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2653.png
Cal Poly,Big Sky,Big Sky,FALSE,FALSE,Mustangs,CP,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/13.png
Eastern Washington,Big Sky,Big Sky,FALSE,FALSE,Eagles,EWU,E Washington,Eastern Washington Eagles,E. Washington,Eastern Wash.,,,https://a.espncdn.com/i/teamlogos/ncaa/500/331.png
